,Item Number,Brand,Processor,Screen Size,Color,Ram Size,SSD Capacity,GPU,Processor Speed,Type,Maximum Resolution,Model,OS,Hard Drive Capacity,Storage Type,Features,Condition,Seller Note,Price
3729,85264984558,Gateway,Intel Pentium Silver,15.6 in,Blue,4 GB,128 gb,Intel,1.10 GHz,Notebook/Laptop,1920 x 1080,gateway,windows 10 home,128 gb,SSD,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, Multi-Touch Trackpad, Backlit Keyboard, Force Touch Trackpad, Built-in Microphone",Not Available,No note from seller,$148.00 
3733,85264984562,Microsoft,Intel Core i5 10th Gen.,12.3 in,Black,8 GB,128 gb,Intel,1.10 GHz,Notebook/Laptop,2736 x 1824,surface,windows 11 home,128 gb,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, Built-in Microphone",Used,No note from seller,$255.00 
3740,85264984569,HP,Intel Celeron,14 in,Unknown,4 GB,16 gb,Intel,1.40 GHz,Chromebook,1366 x 768,hp,Chrome OS,16 gb,SSD,Bluetooth,Used,"“Fully Tested & Functional- .The screen may have some minor scuff or hairline scratches but is ...  Read moreabout the seller notes“Fully Tested & Functional- .The screen may have some minor scuff or hairline scratches but is working . Item is functional, and fully working and has been fully tested, power-washed and restored to factory settings. The items has been fully cleaned and is in OK physical condition. The charger is tested and included” Read Lessabout the seller notes ",$49.00 
3744,85264984573,HP,AMD Ryzen 7,14 in,Blue,16 GB,512 gb,AMD,4.20 GHz,Notebook/Laptop,1366 x 768,hp,windows 11 home,512 gb,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard, Built-in Microphone",Not Available,No note from seller,$519.47 
3746,85264984575,HP,AMD E-Series,14 in,Silver,8 GB,512 gb,AMD,1.80 GHz,Notebook/Laptop,1920 x 1080,not available,windows 11 home,512 gb,SSD,"Wi-Fi,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad",Used,No note from seller,$120.00 
3747,85264984576,HP,Intel Celeron,14 in,White,4 GB,32 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,hp,Chrome OS,4 gb,eMMC,"Touchscreen, Built-in Webcam, Wi-Fi",Not Available,No note from seller,$100.00 
3748,85264984577,LG,Intel Core i5 8th Gen.,14 in,White,8 GB,256 gb,Intel,3.00 GHz,Notebook/Laptop,1920 x 1200,lg,windows 11 home,256 gb,SSD,"Bluetooth, Built-in Webcam, Built-in Microphone, Wi-Fi",Not Available,No note from seller,$499.00 
3756,85264984585,Dell,AMD Turion 64,15.4 in,Unknown,4 GB,180 gb,ATI,2.00 GHz,Notebook/Laptop,1280 x 800,dell,windows 10,500 gb,HDD,"Built-in Microphone, Built-in Webcam, Optical Drive",Used,"“Listing is for Dell Inspiron 1501 15.4""  Memory has been upgraded to 4GB (PC2-6400).  Original hard ...  Read moreabout the seller notes“Listing is for Dell Inspiron 1501 15.4""  Memory has been upgraded to 4GB (PC2-6400).  Original hard drive has been removed and installed 500GB drive.   It has clean install of Windows 10 Home (latest version 22H2 with all latest updates and drivers).  Palmrest and left mouse click have some where.  Some keyboard keys don't work.   Battery is still holding charge.  It doesn't come with AC adapter.” Read Lessabout the seller notes ",$21.95 
3766,85264984595,Dell,Intel Celeron N,11.6 in,Black,4 GB,16 gb,Intel,2.80 GHz,Notebook/Laptop,1366 x 768,dell,Chrome OS,16 gb,eMMC,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, 10/100 LAN Card, Multi-Touch Trackpad, Backlit Keyboard, Built-in Microphone",Not Available,No note from seller,$153.99 
3777,85264984606,HP,Intel Celeron,11.6 in,Black,4 GB,16 gb,Intel,2.16 GHz,Notebook/Laptop,1366 x 768,chromebook,Chrome OS,16 gb,SSD,"Bluetooth,  Built-in Webcam,  Widescreen Display,  Wi-Fi,  Multi-Touch Trackpad,  Backlit Keyboard,  Built-in Microphone",For parts,"“These units have only been tested for Power and to make sure that the LCD was functioning and good. ...  Read moreabout the seller notes“These units have only been tested for Power and to make sure that the LCD was functioning and good. Some of these devices are missing keys, some have bad batteries, and a few are locked to enterprise accounts. Refer to the pictures for more details. Will ship in brown generic boxes with the proper packaging. Used condition. Contact me with any questions. **Chargers NOT INCLUDED **POWER UP, GOOD LCD.” Read Lessabout the seller notes ",$114.99 
3797,85264984626,HP,Intel Core i5 13th Gen.,15.6 in,Gray,8 GB,256 gb,Intel,4.60 GHz,Notebook/Laptop,1920 x 1080,hp,windows 11 home,Not available,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen, Wi-Fi",Certified,“NO Pen.  It is factory certified refurb unit in HP sealed box.  Comes with 2 YEAR Allstate Warranty ...  Read moreabout the seller notes“NO Pen.  It is factory certified refurb unit in HP sealed box.  Comes with 2 YEAR Allstate Warranty (Valid in USA only).  Pen NOT included.” Read Lessabout the seller notes ,$479.57 
3798,85264984627,Dell,Intel Core i7 11th Gen.,14 in,Black,32 GB,1 tb,Intel,1.80 GHz,Notebook,1920 x 1080,latitude,windows 11 pro,1 tb,SSD,Rugged,Excellent,“The laptop is manufacturer refurbished directly from Dell with a fully transferrable warranty.”,"$1,899.99 "
3807,85264984636,Dell,Intel Core i5 8th Gen.,13.3 in,Black,8 GB,256 gb,Intel,3.60 GHz,Notebook/Laptop,1920 x 1080,dell,windows 10 pro,256 gb,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, 10/100 LAN Card, Backlit Keyboard, Built-in Microphone",Not Available,No note from seller,$120.00 
3810,85264984639,Lenovo,Intel Core i5 11th Gen.,14 in,Black,16 GB,256 gb,Intel,2.40 GHz,Notebook/Laptop,1920 x 1080,lenovo,windows 11 pro,512 gb,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam",Used,No note from seller,$231.00 
3811,85264984640,Dell,Intel Core i7 11th Gen.,15.6 in,Silver,16 GB,256 gb,Intel,2.80 GHz,Notebook/Laptop,1920 x 1080,dell,windows 11 pro,256 gb,SSD,Wi-Fi,Excellent,"“The laptop is ""Refurbished like new"" directly from Dell with a fully transferrable warranty. ...  Read moreabout the seller notes“The laptop is ""Refurbished like new"" directly from Dell with a fully transferrable warranty. According to BIOS the laptop was manufactured on 6-16-2022.” Read Lessabout the seller notes ","$1,049.99 "
3812,85264984641,Dell,AMD Ryzen 5,14 in,Bronze,8 GB,256 gb,AMD,2.10 GHz,Notebook/Laptop,1920 x 1080,dell,windows 11,256 gb,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen, Wi-Fi",Good,“Minor dent on the cover and scratches on the base. Includes Dell AC Adapter/Charger.”,$299.00 
3815,85264984644,Dell,AMD Ryzen 5,14 in,Silver,16 GB,512 gb,AMD,4.30 GHz,Notebook/Laptop,1920 x 1080,dell,windows 11 home,512 gb,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard, Built-in Microphone",Not Available,No note from seller,$379.99 
3818,85264984647,HP,Intel Core i3-1115G4,15.6 in,Silver,8 GB,256 gb,Intel,4.10 GHz,Notebook/Laptop,1366 x 768,not available,windows 11 home,256 gb,SSD,"Bluetooth, Built-in Microphone, Wi-Fi, Widescreen Display, Built-in Webcam",New,No note from seller,$325.00 
3822,85264984651,HP,Intel Celeron N,11.6 in,Unknown,4 GB,32 gb,Intel,1.60 GHz,Chromebook,1366 x 768,hp,Chrome OS,32 gb,SSD,Bluetooth,Used,“Fully Tested and Fully working. Ships with charger.”,$44.00 
3824,85264984653,HP,Intel Core i7 8th Gen.,15.6 in,Silver,16 GB,256 gb,Intel,4.30 GHz,Notebook/Laptop,1920 x 1080,hp,windows 10,256 gb,SSD,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Optical Drive, Widescreen Display, Wi-Fi",Used,No note from seller,$299.99 
3825,85264984654,HP,Intel Core i5 13th Gen.,15.6 in,Gray,8 GB,256 gb,Intel,4.60 GHz,Notebook/Laptop,1920 x 1080,hp,windows 11 home,Not available,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen, Wi-Fi",Certified,“NO Pen.  It is factory certified refurb unit in HP sealed box.  Comes with 2 YEAR Allstate Warranty ...  Read moreabout the seller notes“NO Pen.  It is factory certified refurb unit in HP sealed box.  Comes with 2 YEAR Allstate Warranty (Valid in USA only).  Pen NOT included.” Read Lessabout the seller notes ,$479.57 
3829,85264984658,Dell,Intel Core i7 3rd Gen.,15.6 in,Gray,8 GB,256 gb,Intel,2.70 GHz,Notebook/Laptop,1366 x 768,dell,windows 10 pro,240 gb,SSD,"Widescreen Display, Bluetooth, Optical Drive, 10/100 LAN Card, Built-in Webcam, Wi-Fi, Built-in Microphone, Backlit Keyboard",Not Available,No note from seller,$79.95 
3842,85264984671,HP,Intel Core i7 8th Gen.,13 in,Unknown,16 GB,128 gb,Intel,1.90 GHz,Notebook/Laptop,3000 x 2000,elite,windows 11 pro,1 tb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Convertible 2-in-1 Laptop/Tablet",Used,“In very good condition.  Item may have scratches on the cover but the screen is in excellent ...  Read moreabout the seller notes“In very good condition.  Item may have scratches on the cover but the screen is in excellent condition.” Read Lessabout the seller notes ,$415.00 
3846,85264984675,Dell,Intel Celeron N3050,15.6 in,Black,4 GB,0,Intel,1.6 GHz,Notebook/Laptop,1024 x 768,dell,windows 7 pro,500 gb,HDD,"10/100 LAN Card, Built-in Microphone, Built-in Webcam, Multi-Touch Trackpad, Optical Drive, Rugged, Wi-Fi",Used,"“Refurbished and Ready To Use  - Fresh Install Windows 7 Pro 64 Bit - 15.6"" HD Screen - Intel ...  Read moreabout the seller notes“Refurbished and Ready To Use  - Fresh Install Windows 7 Pro 64 Bit - 15.6"" HD Screen - Intel Celeron 1.6 ghz. Processor - Intel HD Graphics - 4 gb ram -   500 gb Hard Drive - CD/DVDRW - Ethernet Port - WIFI - Webcam - HDMI - Battery Included, Takes Charge - Charger Included - Unit Shows Signs Of Previous Use Such as Scratch, Scuff, Ding Or Dent On Outer Casing, Top Cover, See Actual Photos” Read Lessabout the seller notes ",$89.99 
3852,85264984681,Dell,Intel Celeron,11.6 in,Black,4 GB,16 gb,AMD,2.16 GHz,Notebook/Laptop,1366 x 768,dell,Chrome OS,4 gb,SSD,Touchscreen,Used,No note from seller,$45.00 
3853,85264984682,ASUS,Intel Celeron N,14 in,Silver,4 GB,32 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,samsung,Chrome OS,32 gb,eMMC,"Bluetooth, Built-in Microphone, Backlit Keyboard, Force Touch Trackpad, Multi-Touch Trackpad, Built-in Webcam, Wi-Fi, Rugged",Not Available,No note from seller,$99.99 
3861,85264984690,HP,Intel Core i3 12th Gen.,15.6 in,Gray,8 GB,256 gb,Intel,4.10 GHz,Notebook/Laptop,1366 x 768,not available,windows 11 home,256 gb,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Multi-Touch Trackpad, Wi-Fi",New,No note from seller,$314.95 
3863,85264984692,Zzetze,Intel Celeron,14 in,Gray,6 GB,128 gb,Intel,1.1 GHz,Notebook/Laptop,1366 x 768,not available,windows 11 pro,128 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",New,No note from seller,$172.00 
3871,85264984700,Dell,Intel Core i3 12th Gen.,14 in,Black,8 GB,256 gb,Intel,3.30 GHz,Tablet,1920 x 1200,latitude,windows 11 pro,256 gb,SSD,Rugged,Excellent,“The tablet is manufacturer refurbished directly from Dell with a fully transferrable warranty.”,"$1,049.99 "
3873,85264984702,HP,Intel Core I5-8300H,17.3 in,Gray,8 GB,256 gb,Intel,2.30 GHz,Notebook/Laptop,1600 x 900,hp,windows 10 pro,256 gb,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Multi-Touch Trackpad, Wi-Fi, Full Size Keyboard with Number Pad",New,No note from seller,$649.99 
3887,85264984716,Dell,Intel Core i7 11th Gen.,14 in,Gray,16 GB,512 gb,Intel,2.80 GHz,Notebook/Laptop,1366 x 768,latitude,windows 10 pro,512 gb,SSD,"10/100 LAN Card,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",Used,No note from seller,$349.95 
3894,85264984723,Lenovo,Intel Core i3 11th Gen.,14 in,Gray,4 GB,128 gb,Intel,3.00 GHz,Notebook/Laptop,1920 x 1080,lenovo,windows 11 home,128 gb,SSD,"5G, Bluetooth, Built-in Webcam, Wi-Fi, Built-in Microphone",Not Available,No note from seller,$259.00 
3897,85264984726,Dell,Intel Core i7 11th Gen.,14 in,Black,32 GB,1 tb,Intel,1.80 GHz,Notebook,1920 x 1080,latitude,windows 11 pro,1 tb,SSD,Rugged,Excellent,“The laptop is manufacturer refurbished directly from Dell with a fully transferrable warranty.”,"$1,899.99 "
3901,85264984730,HP,AMD A4 Dual-Core,14 in,Unknown,4 GB,16 gb,AMD,1.60 GHz,Chromebook,1366 x 768,hp,Chrome OS,16 gb,eMMC,"Bluetooth, Built-in Webcam, Widescreen Display, Multi-Touch Trackpad, Built-in Microphone",Not Available,No note from seller,$22.00 
3902,85264984731,HP,Intel Core i3-1215U,15.6 in,Silver,8 GB,256 gb,Intel,1.20 GHz,Notebook/Laptop,1920 x 1080,not available,windows 11 home,256 gb,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi, 16 GB Flash Drive",New,No note from seller,$329.95 
3903,85264984732,Lenovo,Ryzen 5 5625U,15.6 in,Black,40 GB,2 tb,AMD,4.3 GHz,Notebook/Laptop,1920 x 1080,lenovo,windows 11 pro,2 tb,SSD,"802.11a/b/g/n/ac, Stereo speakers, Bluetooth, Built-in Microphone, Built-in Webcam, Multi-Touch Trackpad",New,No note from seller,$699.00 to $919.00
3908,85264984737,Lenovo,Intel Core i5 13th Gen.,16 in,Gray,16 GB,512 gb,Intel,1.30 GHz,Notebook/Laptop,1920 x 1200,lenovo,windows 11 home,512 gb,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, IPS Panel, Multi-Touch Trackpad, Convertible 2-in-1 Laptop/Tablet, Backlit Keyboard, Built-in Microphone, Stylus",Not Available,No note from seller,$699.99 
3914,85264984743,Dell,Intel Core i7 11th Gen.,14 in,Unknown,16 GB,256 gb,Intel,3.00 GHz,Notebook/Laptop,1920 x 1080,dell,windows 10 pro,16 gb,SSD,"Built-in Microphone, Built-in Webcam",New,No note from seller,$599.00 
3917,85264984746,HP,Intel Core i5 6th Gen.,14 in,Silver,16 GB,256 gb,Intel,2.40 GHz,Notebook/Laptop,1366 x 768,hp,windows 10 pro,256 gb,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, 10/100 LAN Card, Multi-Touch Trackpad, Backlit Keyboard, Built-in Microphone",Used,No note from seller,$110.00 
3921,85264984750,HP,Intel Core i3 11th Gen.,14 in,Silver,8 GB,256 gb,Intel,2.00 GHz,Notebook/Laptop,1920 x 1080,hp,windows 11 home,256 gb,SSD,"Bluetooth, Built-in Webcam, Backlit Keyboard, Built-in Microphone",Not Available,No note from seller,$319.99 
3923,85264984752,Lenovo,Intel Celeron,11.6 in,Black,4 GB,32 gb,Intel,2.60 GHz,Notebook/Laptop,1366 x 768,lenovo,Chrome OS,32 gb,SSD,"LED Display, Stereo speakers, Built-in Webcam, Multi-Touch Trackpad, Wi-Fi",Used,"“Fully Tested and Fully Working , FULLY FUNCTIONING includes charger. Will ship in bulk packaging. ...  Read moreabout the seller notes“Fully Tested and Fully Working , FULLY FUNCTIONING includes charger. Will ship in bulk packaging. Will show signs of normal” Read Lessabout the seller notes ",$55.00 
3925,85264984754,HP,Intel Celeron N3060,11.6 in,Gray,4 GB,16 gb,Intel,1.60 GHz,Notebook/Laptop,1366 x 768,chromebook,Chrome OS,Not available,SSD,"Built-in Microphone,  Built-in Webcam",Used,“Excellent working condition with Grade A”,$149.99 
3926,85264984755,Dell,"Intel i5-7200U @2.50 GHz,  2701 Mhz,  2Core(s)",17.3 in,Gray,16 GB,500 gb,Intel,2.50 GHz,Notebook/Laptop,1900 x 600,dell,windows 10 pro,500 gb,SSD,"10/100 LAN Card,  5G,  Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Force Touch Trackpad,  Optical Drive,  Widescreen Display,  Wi-Fi",Used,"“Pre-owned in great condition. We have only sanitized and fully upgraded/Updated these systems with ...  Read moreabout the seller notes“Pre-owned in great condition. We have only sanitized and fully upgraded/Updated these systems with Windows 10 Professional, large SSD Drive, and increased the memory to 16 GB DDR4 RAM.  We also installed a brand new battery (2 hours+ charge). This is a fast beautiful nice laptop and included are the bonus items + the Ac Charger (see the actual pictures). Only 2 of these laptops are listed and available. Buy it and enjoy it while they last.” Read Lessabout the seller notes ",$425.00 
3929,85264984758,Dell,Intel Celeron N,11.6 in,Black,4 GB,16 gb,Intel,2.16 GHz,Notebook/Laptop,1366 x 768,samsung,Chrome OS,16 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Rugged",Very Good,"“Very Good - Refurbished - The item shows minimal wear and is backed by a one year warranty. It is ...  Read moreabout the seller notes“Very Good - Refurbished - The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging” Read Lessabout the seller notes ",$52.99 
3931,85264984760,HP,AMD Ryzen Pro 3,14 in,Silver,8 GB,256 gb,Intel,2.10 GHz,Notebook/Laptop,1920 x 1080,hp,windows 10 home,256 gb,SSD,"10/100 LAN Card,  Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touch ID,  Widescreen Display,  Wi-Fi",Used,“Good condition”,$243.00 
3935,85264984764,HP,Intel Core i7 12th Gen.,14 in,Silver,16 GB,512 gb,Intel,1.80 GHz,Notebook/Laptop,1920 x 1080,hp,windows 10 pro,512 gb,SSD,"Bluetooth, Built-in Webcam, Built-in Microphone",Not Available,No note from seller,$749.59 
3942,85264984771,Dell,Intel Core i7 8th Gen.,14 in,Black,16 GB,256 gb,Intel,1.90 GHz,Notebook/Laptop,1920 x 1080,dell,windows 11 pro,256 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",Very Good,“Includes Dell AC Adapter.”,$199.00 
3947,85264984776,Dell,Intel Core i5 11th Gen.,14,Silver,16 GB,512 gb,Intel,2.60 GHz,Notebook/Laptop,1920 x 1080,dell,windows 11 pro,512 gb,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam",Excellent,“The laptop is Refurbished like new directly from Dell with a fully transferrable warranty.”,$699.99 
