,Item Number,Brand,Processor,Screen Size,Color,Ram Size,SSD Capacity,GPU,Processor Speed,Type,Maximum Resolution,Model,OS,Hard Drive Capacity,Storage Type,Features,Condition,Seller Note,Price
5805,85264986596,Dell,Intel Celeron,11.6 in,Black,4 GB,16 gb,Intel,2.16 GHz,Notebook/Laptop,1366 x 768,dell,Linux,16 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Rugged",Used,"“Excellent condition - Every unit is tested to be fully functional. You might see minor blemishes ...  Read moreabout the seller notes“Excellent condition - Every unit is tested to be fully functional. You might see minor blemishes however there are no ""hot spots"" on the screens and the keys are fully responsive. All ports are fully functional and a fresh install of Kali Linux on every unit. Charger Included ** We back every unit with a 90 day no questions asked warranty. If you are unhappy with your purchase for any reason we will gladly buy back your Computer” Read Lessabout the seller notes ",$56.99 
5806,85264986597,Samsung,Intel Core i7 11th Gen.,15.6 in,Silver,16 GB,256 gb,Intel,2.80 GHz,Notebook/Laptop,1920 x 1080,samsung,windows 10 pro,256 gb,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, Multi-Touch Trackpad, Backlit Keyboard, Built-in Microphone",Not Available,No note from seller,$549.99 
5809,85264986600,Microsoft,Intel Pentium Gold,10.5 in,Silver,64 GB,64 gb,Intel,1.10 GHz,Notebook/Laptop,1920 x 1280,microsoft,windows 11 home,64 gb,SSD,"Touchscreen,  Bluetooth,  Wi-Fi",Used,“very good condition. Fully tested and factory reset”,$124.00 
5810,85264986601,Dell,Intel Core i5 7th Gen.,14 in,Black,16 GB,128 gb,Intel,2.60 GHz,Notebook/Laptop,1366 x 768,dell,windows 10,128 gb,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi",Used,"“An item that has been used previously. The item may have some signs of cosmetic wear, but is fully ...  Read moreabout the seller notes“An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended.” Read Lessabout the seller notes ",$129.99 
5811,85264986602,Dell,Intel Core i5 11th Gen.,15.6 in,Black,16 GB,256 gb,Intel,2.60 GHz,Notebook/Laptop,1920 x 1080,dell,windows 11 pro,256 gb,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, 10/100 LAN Card, Backlit Keyboard, Built-in Microphone",Not Available,No note from seller,$399.99 
5814,85264986605,Dell,Intel Core i7 6th Gen.,12.5 in,Black,8 GB,256 gb,Intel,2.60 GHz,Notebook/Laptop,1920 x 1080,dell,windows 10 pro,256 gb,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, 10/100 LAN Card, Backlit Keyboard, Force Touch Trackpad, Built-in Microphone",Used,No note from seller,$129.95 
5818,85264986609,LG,Intel Core i7 11th Gen.,16 in,Gray,16 GB,512 gb,NVIDIA,2.00 GHz,Notebook/Laptop,1920 x 1200,lg,windows 11 home,512 gb,SSD,"Bluetooth, Wi-Fi",For parts,No note from seller,$275.00 
5819,85264986610,Lenovo,Intel Core i7 8th Gen.,14 in,Black,16 GB,256 gb,Intel,1.90 GHz,Notebook/Laptop,1920 x 1080,lenovo,windows 11,16 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Force Touch Trackpad,  Touchscreen,  Wi-Fi",Used,“most of them have good to excellent cosmetic condition one of them have a less than 0.2 square cm ...  Read moreabout the seller notes“most of them have good to excellent cosmetic condition one of them have a less than 0.2 square cm pill on the top led hardly noticeable” Read Lessabout the seller notes ,$225.00 
5820,85264986611,HP,Intel Core i5 8th Gen.,14 in,Silver,32 GB,500 gb,Intel,2.60 GHz,Notebook/Laptop,1920 x 1080,hp,windows 11 pro,500 gb,SSD,Wi-Fi,Very Good,No note from seller,$289.99 
5835,85264986626,HP,Intel Core i5 11th Gen.,17.3 in,Silver,8 GB,256 gb,Intel,2.40 GHz,Notebook/Laptop,1600 x 900,hp,windows 10,256 gb,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, Built-in Microphone",Not Available,No note from seller,$579.00 
5860,85264986651,HP,AMD Ryzen 3,14 in,Silver,16 GB,Not available,AMD,2.00 GHz,Notebook/Laptop,1920 x 1080,hp,Not Included,Not available,SSD,Wi-Fi,Used,No note from seller,$129.99 
6093,85264986884,Dell,INTEL CORE I5,15.6 in,Unknown,4 GB/8 GB,240 gb,Intel,2.40 GHz,Notebook/Laptop,7680 x 4320,any,windows 10,500 gb,HDD/SSD,"10/100 LAN Card,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",Used,“This item is professionally refurbished. This item is in excellent condition. This item is used and ...  Read moreabout the seller notes“This item is professionally refurbished. This item is in excellent condition. This item is used and might show very minor signs of usage.” Read Lessabout the seller notes ,$177.21 to $265.82
6302,85264987093,Lenovo,Intel Core i5 6th Gen.,15 in,Black,16 GB,256 gb,Intel,2.40 GHz,Netbook,1920 x 1080,lenovo,windows 11 pro,256 gb,SSD,"Backlit Keyboard, Bluetooth, 3D Camera, Wi-Fi, Touch ID",Used,No note from seller,$149.00 
6304,85264987095,HP,Intel Celeron N,11.6 in,Black,4 GB,16 gb,Intel,1.6 GHz,Chromebook,1366 x 768,samsung,Chrome OS,16 gb,eMMC,"Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Wi-Fi, Widescreen Display",Used,"“MINT CONDITION, LIKE NEW!  HP Chromebook 11 G5 in stellar condition. Our certified technicians have ...  Read moreabout the seller notes“MINT CONDITION, LIKE NEW!  HP Chromebook 11 G5 in stellar condition. Our certified technicians have meticulously inspected this unit to guarantee 100% functionality. Exhibits minimal signs of handling, with a flawless screen and keyboard. Prepped with a factory reset, this Chromebook is primed to delight right from the package.” Read Lessabout the seller notes ",$69.99 
6309,85264987100,HP,AMD Ryzen 7 7840HS,16.1 in,Black,16 GB,512 gb,NVIDIA,5.10 GHz,Notebook/Laptop,1920 x 1080,hp,windows 11 home,Not available,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",Certified,“Factory certified refurbished item in HP sealed box and comes with 2 year Allstate Warranty (valid ...  Read moreabout the seller notes“Factory certified refurbished item in HP sealed box and comes with 2 year Allstate Warranty (valid in USA only).” Read Lessabout the seller notes ,$949.47 
6310,85264987101,Lenovo,Intel Core i7 8th Gen.,14 in,Black,16 GB,256 gb,Intel,1.90 GHz,Notebook/Laptop,1920 x 1080,lenovo,windows 11 pro,256 gb,NVMe,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",Good,“Good condition. Windows 11 Pro. - Auction is for 1 Unit and one genuine adapter. 1 Year Allstate ...  Read moreabout the seller notes“Good condition. Windows 11 Pro. - Auction is for 1 Unit and one genuine adapter. 1 Year Allstate Warranty.” Read Lessabout the seller notes ,$229.99 
6312,85264987103,Samsung,Qualcomm Snapdragon 8cx Gen 2,14 in,Silver,4 GB,256 gb,Intel,3.20 GHz,Laptop,1920 x 1080,galaxy,windows 10 home,256 gb,SSD,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, LTE, Built-in Microphone",Not Available,No note from seller,$203.72 
6313,85264987104,MSI,AMD Ryzen 7,14 in,Black,16 GB,512 gb,AMD,2.00 GHz,Notebook/Laptop,1920 x 1080,msi,windows 11 home,512 gb,SSD,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, Multi-Touch Trackpad, Backlit Keyboard",Not Available,No note from seller,$509.49 
6314,85264987105,Microsoft,Intel Pentium Gold,10.5 in,Silver,64 GB,64 gb,Intel,1.10 GHz,Notebook/Laptop,1920 x 1280,microsoft,windows 11 home,64 gb,SSD,"Touchscreen, Bluetooth, Wi-Fi",Used,“very good condition. Fully tested and factory reset”,$124.00 
6319,85264987110,SGIN,Intel Celeron N,15.6 in,Silver,4 GB,128 gb,Intel,2.80 GHz,Notebook/Laptop,1366 x 768,not available,windows 11 home,128 gb,SSD,"Bluetooth,  Built-in Webcam,  Widescreen Display,  Wi-Fi,  Backlit Keyboard,  LTE,  Built-in Microphone,  Stylus",New,No note from seller,$636.00 
6328,85264987119,Dell,Intel Core i5 8th Gen.,14 in,Black,32 GB,512 gb,Intel,1.7 GHz,Notebook/Laptop,1920 x 1080,not available,Not Included,512 gb,SSD,"Backlit Keyboard, Bluetooth, Built-in Webcam, Rugged, Touchscreen, Wi-Fi",Used,“VERY GOOD CONDITIONS “Good working Dell Rugged laptop - wear marks from normal use - there are some ...  Read moreabout the seller notes“VERY GOOD CONDITIONS “Good working Dell Rugged laptop - wear marks from normal use - there are some minor wear marks on the touchpad and palmiest in the form of shiny spots in the plastic” Read Lessabout the seller notes ,$399.00 
6330,85264987121,Lenovo,Intel Core i5 13th Gen.,15.6 in,Gray,16 GB,512 gb,NVIDIA,2.10 GHz,Notebook/Laptop,1920 x 1080,lenovo,windows 11 home,512 gb,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone",New,No note from seller,$649.49 
6332,85264987123,Acer,Intel Celeron N,11.6 in,Gray,4 GB,32 gb,Intel,2.48 GHz,Notebook/Laptop,1366 x 768,not available,Chrome OS,32 gb,eMMC,Touchscreen,Used,"“ITEM is Fully Tested & Functional Item MAY contain some small scuff The screen may have some minor ...  Read moreabout the seller notes“ITEM is Fully Tested & Functional Item MAY contain some small scuff The screen may have some minor scuff or hairline scratches but is working . May have Sunspots. Item is functional, and fully working and has been fully tested, power-washed and restored to factory settings. The items has been fully cleaned and is in OK physical condition. The charger is tested and INCLUDED and may show sign of use” Read Lessabout the seller notes ",$41.00 
6334,85264987125,Lenovo,Intel Core i3 12th Gen.,15.6 in,Gray,8 GB,256 gb,Intel,1.20 GHz,Notebook/Laptop,1920 x 1080,lenovo,windows 11 home,8 gb,SSD,Built-in Webcam,Used,“100% Functional! In Great Condition! A few small scratches/scuffs/dings on casing.”,$192.00 to $203.05
